TagID,Power,DetLat,DetLong,Antenna,TripDate,DT
2019 164.480 101,117,44.39361096,-72.97381301,Whip,11/4/2019,11/4/2019 12:53
2019 164.480 101,137,44.394717,-72.973333,Yagi,11/6/2019,11/6/2019 12:36
2019 164.480 101,78,44.38509,-72.94147303,Yagi,11/13/2019,11/13/2019 11:22
2019 164.480 101,73,44.38345101,-72.93911898,Yagi,11/14/2019,11/14/2019 10:12
2019 164.480 101,120,44.38512697,-72.94146297,Yagi,11/15/2019,11/15/2019 11:23
2019 164.480 101,75,44.38375804,-72.93937203,Yagi,11/18/2019,11/18/2019 12:05
2019 164.480 101,175,44.38218903,-72.94075202,Yagi,11/20/2019,11/20/2019 13:06
2019 164.480 101,206,44.38271399,-72.940403,Yagi,11/21/2019,11/21/2019 13:05
2019 164.480 101,111,44.383665,-72.93937999,Yagi,11/27/2019,11/27/2019 11:13
2019 164.480 101,54,44.38302303,-72.93746497,Yagi,12/3/2019,12/3/2019 14:15
2019 164.480 101,100,44.38611402,-72.94312703,Yagi,12/5/2019,12/5/2019 11:04
2019 164.480 101,59,44.38602601,-72.94066602,Whip,12/9/2019,12/9/2019 13:17
2019 164.480 101,125,44.38577699,-72.942575,Yagi,12/10/2019,12/10/2019 11:53
2019 164.480 101,104,44.38536501,-72.94177,Yagi,12/11/2019,12/11/2019 11:27
2019 164.480 101,57,44.38355201,-72.93928603,Yagi,12/12/2019,12/12/2019 11:10
2019 164.480 101,30,44.38663102,-72.95281802,Whip,12/16/2019,12/16/2019 10:17
2019 164.480 101,71,44.38819198,-72.952857,Yagi,12/17/2019,12/17/2019 9:29
2019 164.480 101,57,44.38642097,-72.94481699,Yagi,12/23/2019,12/23/2019 10:11
2019 164.480 101,113,44.38571597,-72.94241298,Yagi,1/2/2020,1/2/2020 10:19
2019 164.480 101,119,44.38511297,-72.94150799,Yagi,1/7/2020,1/7/2020 10:28
2019 164.480 101,40,44.38282999,-72.93750202,Whip,1/10/2020,1/10/2020 10:16
2019 164.480 101,45,44.388066,-72.95288198,Whip,1/14/2020,1/14/2020 10:02
2019 164.480 101,42,44.38745001,-72.95594104,Whip,1/17/2020,1/17/2020 9:45
2019 164.480 101,44,44.38761497,-72.95644202,Whip,1/22/2020,1/22/2020 9:38
2019 164.480 101,39,44.38795301,-72.95759504,Whip,1/28/2020,1/28/2020 10:08
2019 164.480 101,30,44.38782301,-72.95717603,Whip,2/4/2020,2/4/2020 10:10
2019 164.480 101,23,44.38794396,-72.95753804,Whip,2/11/2020,2/11/2020 9:43
2019 164.480 101,45,44.38874502,-72.960335,Whip,3/3/2020,3/3/2020 10:35
2019 164.480 101,66,44.38859699,-72.959875,Whip,3/10/2020,3/10/2020 10:41
2019 164.480 101,88,44.390233,-72.965015,Whip,6/4/2020,6/4/2020 10:36
2019 164.480 101,72,44.390219,-72.965028,Whip,6/8/2020,6/8/2020 10:49
2019 164.480 101,82,44.39027798,-72.965081,Whip,6/12/2020,6/12/2020 10:29
2019 164.480 101,69,44.39015502,-72.96499701,Whip,6/15/2020,6/15/2020 10:11
2019 164.480 101,78,44.39018503,-72.96513699,Whip,6/18/2020,6/18/2020 9:31
2019 164.480 101,80,44.39031101,-72.96506097,Whip,6/22/2020,6/22/2020 12:09
2019 164.480 101,75,44.39031998,-72.965081,Whip,6/24/2020,6/24/2020 11:33
2019 164.480 101,70,44.39022099,-72.96501897,Whip,6/29/2020,6/29/2020 11:55
2019 164.480 101,201,44.390378,-72.964834,Yagi,7/6/2020,NA
2019 164.480 101,122,44.3913533,-72.9672533,Yagi,2/19/2021,2/19/2021 9:42
